elem_idx,offset,radius,hitted,tof_total
44,-0.003,0.01,False,0
45,-0.003,0.01,False,0
46,-0.003,0.01,False,0
47,-0.003,0.01,False,0
48,-0.003,0.01,False,0
49,-0.003,0.01,False,0
50,-0.003,0.01,False,0
51,-0.003,0.01,False,0
52,-0.003,0.01,False,0
53,-0.003,0.01,False,0
54,-0.003,0.01,False,0
55,-0.003,0.01,False,0
56,-0.003,0.01,False,0
57,-0.003,0.01,False,0
58,-0.003,0.01,False,0
59,-0.003,0.01,False,0
60,-0.003,0.01,False,0
61,-0.003,0.01,False,0
62,-0.003,0.01,False,0
63,-0.003,0.01,False,0
64,-0.003,0.01,False,0
0,-0.002,0.01,False,0
1,-0.002,0.01,False,0
2,-0.002,0.01,False,0
3,-0.002,0.01,False,0
4,-0.002,0.01,False,0
5,-0.002,0.01,False,0
6,-0.002,0.01,False,0
7,-0.002,0.01,False,0
8,-0.002,0.01,False,0
9,-0.002,0.01,False,0
10,-0.002,0.01,False,0
11,-0.002,0.01,False,0
12,-0.002,0.01,False,0
13,-0.002,0.01,False,0
14,-0.002,0.01,False,0
15,-0.002,0.01,False,0
16,-0.002,0.01,False,0
17,-0.002,0.01,False,0
18,-0.002,0.01,False,0
19,-0.002,0.01,False,0
20,-0.002,0.01,False,0
21,-0.002,0.01,False,0
22,-0.002,0.01,False,0
23,-0.002,0.01,False,0
24,-0.002,0.01,False,0
25,-0.002,0.01,False,0
26,-0.002,0.01,False,0
27,-0.002,0.01,False,0
28,-0.002,0.01,False,0
29,-0.002,0.01,False,0
30,-0.002,0.01,False,0
31,-0.002,0.01,True,0.00014357974770917383
32,-0.002,0.01,True,0.00014403884802605143
33,-0.002,0.01,False,0
34,-0.002,0.01,False,0
35,-0.002,0.01,False,0
36,-0.002,0.01,False,0
37,-0.002,0.01,False,0
38,-0.002,0.01,False,0
39,-0.002,0.01,False,0
40,-0.002,0.01,False,0
41,-0.002,0.01,False,0
42,-0.002,0.01,False,0
43,-0.002,0.01,False,0
44,-0.002,0.01,False,0
45,-0.002,0.01,False,0
46,-0.002,0.01,False,0
47,-0.002,0.01,False,0
48,-0.002,0.01,False,0
49,-0.002,0.01,False,0
50,-0.002,0.01,False,0
51,-0.002,0.01,False,0
52,-0.002,0.01,False,0
53,-0.002,0.01,False,0
54,-0.002,0.01,False,0
55,-0.002,0.01,False,0
56,-0.002,0.01,False,0
57,-0.002,0.01,False,0
58,-0.002,0.01,False,0
59,-0.002,0.01,False,0
60,-0.002,0.01,False,0
61,-0.002,0.01,False,0
62,-0.002,0.01,False,0
63,-0.002,0.01,False,0
64,-0.002,0.01,False,0
0,-0.001,0.01,False,0
1,-0.001,0.01,False,0
2,-0.001,0.01,False,0
3,-0.001,0.01,False,0
4,-0.001,0.01,False,0
5,-0.001,0.01,False,0
6,-0.001,0.01,False,0
7,-0.001,0.01,False,0
8,-0.001,0.01,False,0
9,-0.001,0.01,False,0
10,-0.001,0.01,False,0
11,-0.001,0.01,False,0
12,-0.001,0.01,False,0
13,-0.001,0.01,False,0
14,-0.001,0.01,False,0
15,-0.001,0.01,False,0
16,-0.001,0.01,False,0
17,-0.001,0.01,False,0
18,-0.001,0.01,False,0
19,-0.001,0.01,False,0
20,-0.001,0.01,True,0.00014479858203933087
21,-0.001,0.01,False,0
22,-0.001,0.01,False,0
23,-0.001,0.01,False,0
24,-0.001,0.01,False,0
25,-0.001,0.01,False,0
26,-0.001,0.01,False,0
27,-0.001,0.01,False,0
28,-0.001,0.01,False,0
29,-0.001,0.01,True,0.0001442608274353676
30,-0.001,0.01,False,0
31,-0.001,0.01,False,0
32,-0.001,0.01,True,0.00014376528638778547
33,-0.001,0.01,False,0
34,-0.001,0.01,False,0
35,-0.001,0.01,False,0
36,-0.001,0.01,False,0
37,-0.001,0.01,False,0
38,-0.001,0.01,False,0
39,-0.001,0.01,False,0
40,-0.001,0.01,False,0
41,-0.001,0.01,False,0
42,-0.001,0.01,False,0
